username,review,rating,date,app,cleaned_review,processed_review,sentiment,rating_sentiment
shageer khan,Good,5,2026-03-11 21:57:38,Zomato,good,good,Positive,Positive
Zainab Lokhandwala,delivery charges are too much,4,2026-03-11 21:55:36,Zomato,delivery charges are too much,delivery charge much,Neutral,Positive
Faizan_ Pathan_90,good,5,2026-03-11 21:54:51,Zomato,good,good,Positive,Positive
Pradeep Thakur,Amazing app😍,5,2026-03-11 21:54:31,Zomato,amazing app,amazing app,Positive,Positive
CHANDRU .G,super,5,2026-03-11 21:54:25,Zomato,super,super,Positive,Positive
Shivani Dubey,very nice,5,2026-03-11 21:54:04,Zomato,very nice,nice,Positive,Positive
VAISHU,Wonderfull best ever app where you can order anything safely and without any problem of waiting or food mistake it's the best you can find personally I'm obsessed with the zomato app as it works hella best out of everything else so try by yourself 👍,5,2026-03-11 21:53:34,Zomato,wonderfull best ever app where you can order anything safely and without any problem of waiting or food mistake its the best you can find personally im obsessed with the zomato app as it works hella best out of everything else so try by yourself,wonderfull best ever app order anything safely without problem waiting food mistake best find personally obsessed zomato app work hella best everything else try,Positive,Positive
Shivangi Yadav,very testy,5,2026-03-11 21:53:14,Zomato,very testy,testy,Neutral,Positive
KANISHKA DIXIT,loved it,5,2026-03-11 21:53:07,Zomato,loved it,loved,Positive,Positive
Aarav Kunnu,i love Zomato this is so helpful delivery rider is so kindly and food is so good 👍,5,2026-03-11 21:53:01,Zomato,i love zomato this is so helpful delivery rider is so kindly and food is so good,love zomato helpful delivery rider kindly food good,Positive,Positive
SATHISH J,good,5,2026-03-11 21:52:34,Zomato,good,good,Positive,Positive
Tanmay Canda,excellent offers..value for money,5,2026-03-11 21:52:34,Zomato,excellent offersvalue for money,excellent offersvalue money,Positive,Positive
Anaya Khan,ok,5,2026-03-11 21:52:30,Zomato,ok,ok,Neutral,Positive
Shubham Gupta,good experience for me bcoz delivery fery fast,5,2026-03-11 21:52:24,Zomato,good experience for me bcoz delivery fery fast,good experience bcoz delivery fery fast,Positive,Positive
lovely Singh,bahut achhi service hai aise hi humesa humare sath bane rahiye thanku so much,5,2026-03-11 21:52:13,Zomato,bahut achhi service hai aise hi humesa humare sath bane rahiye thanku so much,bahut achhi service hai aise humesa humare sath bane rahiye thanku much,Neutral,Positive
Rahul R S,very much delayed delivery,1,2026-03-11 21:52:12,Zomato,very much delayed delivery,much delayed delivery,Negative,Negative
Arham Khalil,good,5,2026-03-11 21:52:04,Zomato,good,good,Positive,Positive
Jãyãñtã Ghösh,okk,1,2026-03-11 21:51:58,Zomato,okk,okk,Neutral,Negative
Emon Das Gupta,good,4,2026-03-11 21:51:41,Zomato,good,good,Positive,Positive
Farjana Khan,wow,5,2026-03-11 21:51:37,Zomato,wow,wow,Positive,Positive
Riddhi Joshi,easy to order,5,2026-03-11 21:51:28,Zomato,easy to order,easy order,Positive,Positive
Aarti yadav,very easy to use,5,2026-03-11 21:51:15,Zomato,very easy to use,easy use,Positive,Positive
Suresh Thakran,gorgeous,5,2026-03-11 21:50:45,Zomato,gorgeous,gorgeous,Positive,Positive
Sajid Mohd.,thank u zomato 👍,5,2026-03-11 21:49:59,Zomato,thank u zomato,thank zomato,Positive,Positive
Aradhya Krishna,easily getting orders,5,2026-03-11 21:49:37,Zomato,easily getting orders,easily getting order,Positive,Positive
harish dhanukonda,very good,5,2026-03-11 21:49:28,Zomato,very good,good,Positive,Positive
Suprio Sarkar,good,5,2026-03-11 21:49:08,Zomato,good,good,Positive,Positive
Raman Noni,best service,5,2026-03-11 21:48:00,Zomato,best service,best service,Positive,Positive
Ravi Kiran,good 👍,4,2026-03-11 21:47:46,Zomato,good,good,Positive,Positive
Sanjay Parikh,before placing an order invoice for the amount not shown,3,2026-03-11 21:46:48,Zomato,before placing an order invoice for the amount not shown,placing order invoice amount shown,Neutral,Neutral
Laly Vijayan,good,5,2026-03-11 21:45:51,Zomato,good,good,Positive,Positive
RIYAZ AHMED,good,5,2026-03-11 21:45:44,Zomato,good,good,Positive,Positive
Tej Ram,super star ✨✨✨✨✨ zomato King 👑👑👑❤️❤️❤️❤️❤️,5,2026-03-11 21:45:05,Zomato,super star  zomato king,super star zomato king,Positive,Positive
Harshit Tiwari,offer price low charge and delivery charge very high price,1,2026-03-11 21:44:55,Zomato,offer price low charge and delivery charge very high price,offer price low charge delivery charge high price,Negative,Negative
Raman Singh,good,5,2026-03-11 21:43:30,Zomato,good,good,Positive,Positive
Bharath Bharath,super offers,5,2026-03-11 21:42:52,Zomato,super offers,super offer,Positive,Positive
Mayank Kashyap,good 👍,5,2026-03-11 21:42:45,Zomato,good,good,Positive,Positive
arun baxla,too late 😭,1,2026-03-11 21:41:28,Zomato,too late,late,Neutral,Negative
Divakar Kumar,mst hai,5,2026-03-11 21:40:41,Zomato,mst hai,mst hai,Neutral,Positive
Abalasingi Padma,good quality food zomato,5,2026-03-11 21:40:34,Zomato,good quality food zomato,good quality food zomato,Positive,Positive
NISHANT SHAH,amazing experience.. one tap order and get your food at the door step.delivery service is so perfect. love it 🤩.,5,2026-03-11 21:40:15,Zomato,amazing experience one tap order and get your food at the door stepdelivery service is so perfect love it,amazing experience one tap order get food door stepdelivery service perfect love,Positive,Positive
Pankaj Sachdeva,very very good,5,2026-03-11 21:40:02,Zomato,very very good,good,Positive,Positive
Pooja Shivsharan,good,5,2026-03-11 21:39:14,Zomato,good,good,Positive,Positive
Abhinaya Pranitha,When I ordered one thing they sent another thing and when I raised a complaint they asked me to send a picture that's it,1,2026-03-11 21:39:11,Zomato,when i ordered one thing they sent another thing and when i raised a complaint they asked me to send a picture thats it,ordered one thing sent another thing raised complaint asked send picture thats,Negative,Negative
Swapnil Nalawade,"""Great Food, Slow Service"" delivery was on time,Many users recently have noted that getting help via the AI chat bot for missing items can be tricky—mentioning your delivery experience",5,2026-03-11 21:39:05,Zomato,great food slow service delivery was on timemany users recently have noted that getting help via the ai chat bot for missing items can be trickymentioning your delivery experience,great food slow service delivery timemany user recently noted getting help via chat bot missing item trickymentioning delivery experience,Positive,Positive
Raja Mukhiya,good,4,2026-03-11 21:38:59,Zomato,good,good,Positive,Positive
Urvashi Rathore,good 😊,4,2026-03-11 21:38:52,Zomato,good,good,Positive,Positive
Mokshada Gaikwad,too expensive,3,2026-03-11 21:38:29,Zomato,too expensive,expensive,Neutral,Neutral
vipul shah,super fast and super easy,5,2026-03-11 21:37:25,Zomato,super fast and super easy,super fast super easy,Positive,Positive
Rimpal Tomar,"There is a size issue with my order. I ordered medium, but received regular.",1,2026-03-11 21:37:23,Zomato,there is a size issue with my order i ordered medium but received regular,size issue order ordered medium received regular,Neutral,Negative
Rajeev Ranjan,Don't have any commitment for the delivery. Don't Order after making payment. neither deliver on time and charge the cancellation of what you paid. Always order on COD....,1,2026-03-11 21:35:00,Zomato,dont have any commitment for the delivery dont order after making payment neither deliver on time and charge the cancellation of what you paid always order on cod,dont commitment delivery dont order making payment neither deliver time charge cancellation paid always order cod,Negative,Negative
CHARAN KUDLA,good,5,2026-03-11 21:34:15,Zomato,good,good,Positive,Positive
Prateek Sharma,very bad services,1,2026-03-11 21:34:03,Zomato,very bad services,bad service,Negative,Negative
Ashish Peter,Pricing is expensive. With delayed delivery.,1,2026-03-11 21:33:46,Zomato,pricing is expensive with delayed delivery,pricing expensive delayed delivery,Negative,Negative
Ishan Tiwari,Good,5,2026-03-11 21:33:41,Zomato,good,good,Positive,Positive
Larencce Larencce,good,5,2026-03-11 21:33:21,Zomato,good,good,Positive,Positive
Gourav Magotra,gud,5,2026-03-11 21:32:36,Zomato,gud,gud,Neutral,Positive
Sanjay Purohit,very good experience,5,2026-03-11 21:32:12,Zomato,very good experience,good experience,Positive,Positive
Kutty Sathish,good,3,2026-03-11 21:31:53,Zomato,good,good,Positive,Neutral
Yellaji Single,super,4,2026-03-11 21:31:17,Zomato,super,super,Positive,Positive
Rohan Gaonkar,on time,5,2026-03-11 21:31:14,Zomato,on time,time,Neutral,Positive
mainu mainoddhin,good service,4,2026-03-11 21:31:02,Zomato,good service,good service,Positive,Positive
Yash Srivastava,good,5,2026-03-11 21:30:42,Zomato,good,good,Positive,Positive
Naresh Chandra Halder,excellent,5,2026-03-11 21:30:42,Zomato,excellent,excellent,Positive,Positive
chets saini,overall good,5,2026-03-11 21:30:15,Zomato,overall good,overall good,Positive,Positive
Chilukubatula Sai kiran,good,4,2026-03-11 21:28:49,Zomato,good,good,Positive,Positive
Tuphanu Sharma,ok,3,2026-03-11 21:28:32,Zomato,ok,ok,Neutral,Neutral
Komyir Param,good,4,2026-03-11 21:27:38,Zomato,good,good,Positive,Positive
Sachin Gore,use rarely,3,2026-03-11 21:27:38,Zomato,use rarely,use rarely,Neutral,Neutral
Arun Kumar,kindly send early,5,2026-03-11 21:27:08,Zomato,kindly send early,kindly send early,Positive,Positive
Mahalakshmi Alexchandran,good,5,2026-03-11 21:26:30,Zomato,good,good,Positive,Positive
goolu vishwakarma,good chesh,5,2026-03-11 21:26:04,Zomato,good chesh,good chesh,Positive,Positive
Dibya Chaki,best,5,2026-03-11 21:25:25,Zomato,best,best,Positive,Positive
Dipali Dhurandhar,I paid 400 .. resturant didn't recieve ..zomato never gave back .. now it's up to you... to use or not to use ... toodles,2,2026-03-11 21:25:09,Zomato,i paid   resturant didnt recieve zomato never gave back  now its up to you to use or not to use  toodles,paid resturant didnt recieve zomato never gave back use use toodles,Neutral,Negative
Jakiya Jakiya begum,good,5,2026-03-11 21:25:02,Zomato,good,good,Positive,Positive
Saheer Ghan,sup.er,5,2026-03-11 21:24:50,Zomato,super,super,Positive,Positive
PIYUSH,good,4,2026-03-11 21:24:35,Zomato,good,good,Positive,Positive
Vikram Mandal,tow good,4,2026-03-11 21:24:03,Zomato,tow good,tow good,Positive,Positive
Prathap Reddy,good,5,2026-03-11 21:23:58,Zomato,good,good,Positive,Positive
Suraj Tamang,superb it is,5,2026-03-11 21:22:28,Zomato,superb it is,superb,Positive,Positive
Sulakshana Vashisht,wow good service,5,2026-03-11 21:22:23,Zomato,wow good service,wow good service,Positive,Positive
BETA,super 👍,5,2026-03-11 21:22:01,Zomato,super,super,Positive,Positive
Vaishali Rai,Awesome,5,2026-03-11 21:21:37,Zomato,awesome,awesome,Positive,Positive
Gouse basha,Anytime Anyday Zomato 😋,5,2026-03-11 21:20:55,Zomato,anytime anyday zomato,anytime anyday zomato,Neutral,Positive
Javaregowda J Gowda,super,5,2026-03-11 21:20:53,Zomato,super,super,Positive,Positive
Yash R,Unethical practices. Changes the prices after selecting the items.,2,2026-03-11 21:20:53,Zomato,unethical practices changes the prices after selecting the items,unethical practice change price selecting item,Negative,Negative
Soham Hirlekar,cool,5,2026-03-11 21:20:23,Zomato,cool,cool,Positive,Positive
Sujay Jha,Great Service,5,2026-03-11 21:19:31,Zomato,great service,great service,Positive,Positive
Sunita Madhukar,bahut achcha services hai test ka to jawab hi nahin,5,2026-03-11 21:19:20,Zomato,bahut achcha services hai test ka to jawab hi nahin,bahut achcha service hai test jawab nahin,Neutral,Positive
Gøkú,good 😊,5,2026-03-11 21:19:18,Zomato,good,good,Positive,Positive
SANTOSH BAGRI,bohot bekar test or bekar quility dikha kuch or rahe hai or bhej kuch or rahe hai total paise west 🤮🤮 thk se banaya bhi nhi salid ki jagah 2 pyaj daal di bas,1,2026-03-11 21:19:02,Zomato,bohot bekar test or bekar quility dikha kuch or rahe hai or bhej kuch or rahe hai total paise west  thk se banaya bhi nhi salid ki jagah  pyaj daal di bas,bohot bekar test bekar quility dikha kuch rahe hai bhej kuch rahe hai total paisa west thk banaya bhi nhi salid jagah pyaj daal ba,Neutral,Negative
ALIVA YASMIN,good experience,5,2026-03-11 21:18:59,Zomato,good experience,good experience,Positive,Positive
kanakadurgarao k,ok,5,2026-03-11 21:18:57,Zomato,ok,ok,Neutral,Positive
Deepak Vaishnav,ok,5,2026-03-11 21:18:50,Zomato,ok,ok,Neutral,Positive
Harsh Gaur,amzing aap for home delivery,5,2026-03-11 21:18:02,Zomato,amzing aap for home delivery,amzing aap home delivery,Neutral,Positive
mala saini,Very good service,5,2026-03-11 21:17:19,Zomato,very good service,good service,Positive,Positive
Neeraj kumar Sah,fast delivered,5,2026-03-11 21:17:15,Zomato,fast delivered,fast delivered,Neutral,Positive
Apoorva Pandit,horrible service. kept cancelling the order repeatedly. very bad coordination between restaurants and zomato people.,4,2026-03-11 21:16:19,Zomato,horrible service kept cancelling the order repeatedly very bad coordination between restaurants and zomato people,horrible service kept cancelling order repeatedly bad coordination restaurant zomato people,Negative,Positive
Poonam Soni,good,5,2026-03-11 21:16:06,Zomato,good,good,Positive,Positive
ꪝᴛs᭄ ʟɪᴘᴜɴ,good apps,5,2026-03-11 21:15:56,Zomato,good apps,good apps,Positive,Positive
Venugopal Uriti,super,5,2026-03-11 21:15:52,Zomato,super,super,Positive,Positive
Md Abaidulla,best,5,2026-03-11 21:15:28,Zomato,best,best,Positive,Positive
Kumudini M,the best ooooo...,5,2026-03-11 21:15:00,Zomato,the best ooooo,best ooooo,Positive,Positive
Saleem Malhi,good service,5,2026-03-11 21:14:58,Zomato,good service,good service,Positive,Positive
DHEERAJ SINGH ARP,good,5,2026-03-11 21:14:57,Zomato,good,good,Positive,Positive
Jyotsna kumari,very good fast delivery,5,2026-03-11 21:14:46,Zomato,very good fast delivery,good fast delivery,Positive,Positive
Tejswani Agarwal,bss thoda sasta krdo yrr,5,2026-03-11 21:14:09,Zomato,bss thoda sasta krdo yrr,bs thoda sasta krdo yrr,Neutral,Positive
Deva Seelan,good,5,2026-03-11 21:13:18,Zomato,good,good,Positive,Positive
ajeet kumar,good,5,2026-03-11 21:12:40,Zomato,good,good,Positive,Positive
Mukul Ji,nice,5,2026-03-11 21:12:30,Zomato,nice,nice,Positive,Positive
Sheetal Singh,best app,5,2026-03-11 21:09:37,Zomato,best app,best app,Positive,Positive
Shiwani Kumari,good,5,2026-03-11 21:08:57,Zomato,good,good,Positive,Positive
Abhishek Srivastava,food value showing less but we are going to order showing more,1,2026-03-11 21:08:39,Zomato,food value showing less but we are going to order showing more,food value showing less going order showing,Positive,Negative
Mitansh Mehra,nice app,5,2026-03-11 21:08:35,Zomato,nice app,nice app,Positive,Positive
TapanWA Singhal,Zomato is easy to order on but a little more transparency on the pricing will be helpful.,4,2026-03-11 21:08:33,Zomato,zomato is easy to order on but a little more transparency on the pricing will be helpful,zomato easy order little transparency pricing helpful,Positive,Positive
Suraj kumar Nayak,thank you,5,2026-03-11 21:07:42,Zomato,thank you,thank,Positive,Positive
Nitesh Kumar das,nice,4,2026-03-11 21:07:41,Zomato,nice,nice,Positive,Positive
Afrah Jami,Great,5,2026-03-11 21:07:04,Zomato,great,great,Positive,Positive
Satya Taneja,good 👍 👍 👍 👍 👍,5,2026-03-11 21:06:44,Zomato,good,good,Positive,Positive
Pankaj Gupta,good👍👍👍,5,2026-03-11 21:06:35,Zomato,good,good,Positive,Positive
Rajkumar Lasnika,Very very Good 😊... Useful App ... Offer's Best,5,2026-03-11 21:06:04,Zomato,very very good  useful app  offers best,good useful app offer best,Positive,Positive
Bashapally Prasanna,good,5,2026-03-11 21:05:44,Zomato,good,good,Positive,Positive
Vinay Singh,good,5,2026-03-11 21:05:36,Zomato,good,good,Positive,Positive
Aishwarya 2007,its good 👍,5,2026-03-11 21:05:25,Zomato,its good,good,Positive,Positive
Karan Singh,hello ji,5,2026-03-11 21:04:42,Zomato,hello ji,hello,Neutral,Positive
Pabitra Biswas,thanx for zomato,3,2026-03-11 21:03:58,Zomato,thanx for zomato,thanx zomato,Neutral,Neutral
Shivam Lot,nice roll,5,2026-03-11 21:02:25,Zomato,nice roll,nice roll,Positive,Positive
Yogesh Linge,"good , excellent but can dilver for a little more late like at 11 or 12 pm",5,2026-03-11 21:02:22,Zomato,good  excellent but can dilver for a little more late like at  or  pm,good excellent dilver little late like,Positive,Positive
Madhav m k musics,nice,5,2026-03-11 21:02:00,Zomato,nice,nice,Positive,Positive
Anusuya G,good offer,5,2026-03-11 21:02:00,Zomato,good offer,good offer,Positive,Positive
Abhigyan Tiwari,ekdam mst,5,2026-03-11 21:01:28,Zomato,ekdam mst,ekdam mst,Neutral,Positive
Atul Kumar,👍 nice dinar,5,2026-03-11 21:01:24,Zomato,nice dinar,nice dinar,Positive,Positive
Sourav Sinha,staff misbehaved when I requested low oil/spice,1,2026-03-12 02:47:14,Swiggy,staff misbehaved when i requested low oilspice,staff misbehaved requested low oilspice,Negative,Negative
Mann Prajapati,what a Pathetic Company is even though spending almost 5 to 6 thousand a month they still Do not know how to handle a Customer because they Simply don't value their customers frist time they delayed the Order for almost 1:45 hours and then this time the Same the Restaurant was 5 minutes away and still could deliver in An Hour and i Cancelled because of the Delay they Charged me the Full Order and Didn't Even returned anything. Please I recommend if possible try to Order From Other companies.,1,2026-03-12 02:40:15,Swiggy,what a pathetic company is even though spending almost  to  thousand a month they still do not know how to handle a customer because they simply dont value their customers frist time they delayed the order for almost  hours and then this time the same the restaurant was  minutes away and still could deliver in an hour and i cancelled because of the delay they charged me the full order and didnt even returned anything please i recommend if possible try to order from other companies,pathetic company even though spending almost thousand month still know handle customer simply dont value customer frist time delayed order almost hour time restaurant minute away still could deliver hour cancelled delay charged full order didnt even returned anything please recommend possible try order company,Negative,Negative
Sumu Gogoi,so good,5,2026-03-12 02:12:17,Swiggy,so good,good,Positive,Positive
Usman,very bad service,1,2026-03-12 02:11:16,Swiggy,very bad service,bad service,Negative,Negative
Vikram Rambabu,I didn't received order and status showing order delivered and I launch complaint 3 days happen no resolution.,1,2026-03-12 02:09:33,Swiggy,i didnt received order and status showing order delivered and i launch complaint  days happen no resolution,didnt received order status showing order delivered launch complaint day happen resolution,Negative,Negative
Suraj Singh,soo happy 😁😊,5,2026-03-12 02:07:38,Swiggy,soo happy,soo happy,Positive,Positive
Surender kaur,very good,5,2026-03-12 02:02:40,Swiggy,very good,good,Positive,Positive
Nirmal Singh,good,5,2026-03-12 02:00:41,Swiggy,good,good,Positive,Positive
suraj upreti,swoggy is really very sweet.,5,2026-03-12 01:55:02,Swiggy,swoggy is really very sweet,swoggy really sweet,Positive,Positive
Ᏼɪᴛᴛᴜ Ꮢᴏʏ,make the delivery fast as soon thanks 👍🏻,5,2026-03-12 01:49:20,Swiggy,make the delivery fast as soon thanks,make delivery fast soon thanks,Positive,Positive
Sweety Snow,good 😊👍,5,2026-03-12 01:37:33,Swiggy,good,good,Positive,Positive
Delhite Jatin,late delivery app,1,2026-03-12 01:35:57,Swiggy,late delivery app,late delivery app,Neutral,Negative
Siddharth,they will never deliver the whole portion and give you like 100 rupees coupon happened with for like 3 or 4 orders,1,2026-03-12 01:32:18,Swiggy,they will never deliver the whole portion and give you like  rupees coupon happened with for like  or  orders,never deliver whole portion give like rupee coupon happened like order,Positive,Negative
Sahil Bhagat,good,5,2026-03-12 01:31:02,Swiggy,good,good,Positive,Positive
M.satish,super,5,2026-03-12 01:22:13,Swiggy,super,super,Positive,Positive
Hasim Q,great,5,2026-03-12 01:19:05,Swiggy,great,great,Positive,Positive
Rohit Shakyawal,good 😊,5,2026-03-12 01:13:02,Swiggy,good,good,Positive,Positive
Sruthy S,Very bad experience. dont buy from this app,1,2026-03-12 01:09:52,Swiggy,very bad experience dont buy from this app,bad experience dont buy app,Negative,Negative
Anthony,"worst app ever some items were missing then I asked customer care for 2 hours and atlast they didn't deliver the products at all and i emailed them they didn't reply at all it's over 2 weeks still no reply and last they said they can't help because this isn't their thing then what I'm supposed to do this is worst grocery app in Bangalore those who are in Bangalore never use this app again ever i even have proof,photos of them wasting my time for 2 hours without resolution unable to upload here..",1,2026-03-12 01:05:47,Swiggy,worst app ever some items were missing then i asked customer care for  hours and atlast they didnt deliver the products at all and i emailed them they didnt reply at all its over  weeks still no reply and last they said they cant help because this isnt their thing then what im supposed to do this is worst grocery app in bangalore those who are in bangalore never use this app again ever i even have proofphotos of them wasting my time for  hours without resolution unable to upload here,worst app ever item missing asked customer care hour atlast didnt deliver product emailed didnt reply week still reply last said cant help isnt thing supposed worst grocery app bangalore bangalore never use app ever even proofphotos wasting time hour without resolution unable upload,Negative,Negative
Dhruv Prasad,swiggy is very good 😊😊😊,5,2026-03-12 01:05:39,Swiggy,swiggy is very good,swiggy good,Positive,Positive
Vaibhav more,if google provide me an opportunity to rate this as low as I can then it will be like negative infinity. I ordered a meal on this pathetic platform but they charged me with 100 percent cancellation charges and later in chat saying it's our policy. Don't fool your customers will regret in future. Never ever order meal on this platform as they don't provide any support to customer and also don't have any verification process for resturant. can feed you unhigenic food and legally they stole money.,1,2026-03-12 01:03:44,Swiggy,if google provide me an opportunity to rate this as low as i can then it will be like negative infinity i ordered a meal on this pathetic platform but they charged me with  percent cancellation charges and later in chat saying its our policy dont fool your customers will regret in future never ever order meal on this platform as they dont provide any support to customer and also dont have any verification process for resturant can feed you unhigenic food and legally they stole money,google provide opportunity rate low like negative infinity ordered meal pathetic platform charged percent cancellation charge later chat saying policy dont fool customer regret future never ever order meal platform dont provide support customer also dont verification process resturant feed unhigenic food legally stole money,Negative,Negative
neet2026,1 hour ho gaya. ab tak delivery wala nahi aaaya. itni raat ho chuki hai . order bhi cancel nahi ho rha. very very bad service.,1,2026-03-12 01:03:43,Swiggy,hour ho gaya ab tak delivery wala nahi aaaya itni raat ho chuki hai  order bhi cancel nahi ho rha very very bad service,hour gaya tak delivery wala nahi aaaya itni raat chuki hai order bhi cancel nahi rha bad service,Negative,Negative
Dilpreet Singh,if wasting time visit swiggy bc company 2hrs oder ni thude maa de lann,1,2026-03-12 00:56:31,Swiggy,if wasting time visit swiggy bc company hrs oder ni thude maa de lann,wasting time visit swiggy company hr oder thude maa lann,Negative,Negative
Nambi Rajan,good,5,2026-03-12 00:56:18,Swiggy,good,good,Positive,Positive
Aaliya,very late service or food gets cold 🥶,1,2026-03-12 00:52:54,Swiggy,very late service or food gets cold,late service food get cold,Neutral,Negative
Demon Bro,best experience 😉,5,2026-03-12 00:52:01,Swiggy,best experience,best experience,Positive,Positive
Amit Agrawal,Never going to order from this app again order facing issues order's getting cancelled because no delivery partner is available happened to me 2 times that also within span of 3 days,1,2026-03-12 00:51:14,Swiggy,never going to order from this app again order facing issues orders getting cancelled because no delivery partner is available happened to me  times that also within span of  days,never going order app order facing issue order getting cancelled delivery partner available happened time also within span day,Negative,Negative
Sirajul Hoque,good,1,2026-03-12 00:50:14,Swiggy,good,good,Positive,Negative
Sanya Juneja,superb app,5,2026-03-12 00:47:43,Swiggy,superb app,superb app,Positive,Positive
Haleem Ansari,Good,3,2026-03-12 00:47:23,Swiggy,good,good,Positive,Neutral
Deepa SunilRaj,so much i like this apo for ever,5,2026-03-12 00:42:35,Swiggy,so much i like this apo for ever,much like apo ever,Positive,Positive
Bhushan Patil,Worst app ever,1,2026-03-12 00:40:44,Swiggy,worst app ever,worst app ever,Negative,Negative
Bala Subramaniam,Wort app I never seen again and again happening worst app,1,2026-03-12 00:34:26,Swiggy,wort app i never seen again and again happening worst app,wort app never seen happening worst app,Positive,Negative
Ta. Ra.,"disgusting app , its worse now. order delayed Cold food after 1 hour ,delivery agent slow and dont know anything",1,2026-03-12 00:28:18,Swiggy,disgusting app  its worse now order delayed cold food after  hour delivery agent slow and dont know anything,disgusting app worse order delayed cold food hour delivery agent slow dont know anything,Negative,Negative
Prakash Dangiri,good,5,2026-03-12 00:27:59,Swiggy,good,good,Positive,Positive
ISstyle king,best app,5,2026-03-12 00:25:22,Swiggy,best app,best app,Positive,Positive
sameer s,"Bogus App, taking payment of costly food and delevering cheep one.",1,2026-03-12 00:22:46,Swiggy,bogus app taking payment of costly food and delevering cheep one,bogus app taking payment costly food delevering cheep one,Negative,Negative
Priyanka Sharma,not deliver my order in given time,1,2026-03-12 00:17:27,Swiggy,not deliver my order in given time,deliver order given time,Neutral,Negative
Chaitanya Muppidi,good experience and nice,4,2026-03-12 00:16:21,Swiggy,good experience and nice,good experience nice,Positive,Positive
Sapna Palya,nic,5,2026-03-12 00:14:16,Swiggy,nic,nic,Neutral,Positive
Sadanand S,worst app no customer service.waited for 30 minutes hearing their ringtone.ai assistance is useless,1,2026-03-12 00:13:50,Swiggy,worst app no customer servicewaited for  minutes hearing their ringtoneai assistance is useless,worst app customer servicewaited minute hearing ringtoneai assistance useless,Negative,Negative
Tanish Yadav,order na deyo jav k,1,2026-03-12 00:09:43,Swiggy,order na deyo jav k,order deyo jav,Neutral,Negative
Ayarsh raj,Best service ever seen in my life... always top of the table.... earlier I used to order from zomato but later I found this app and this exceptional app just changed the perception of mine that a delivery app can deliver order very soon. I love this app very much it changed the idea of mine...zomato is getting worse day by day and can't compete Swiggy in term of services and all,5,2026-03-12 00:04:04,Swiggy,best service ever seen in my life always top of the table earlier i used to order from zomato but later i found this app and this exceptional app just changed the perception of mine that a delivery app can deliver order very soon i love this app very much it changed the idea of minezomato is getting worse day by day and cant compete swiggy in term of services and all,best service ever seen life always top table earlier used order zomato later found app exceptional app changed perception mine delivery app deliver order soon love app much changed idea minezomato getting worse day day cant compete swiggy term service,Positive,Positive
Rick Sharddul,cupon not working,1,2026-03-11 23:59:53,Swiggy,cupon not working,cupon working,Neutral,Negative
Ravi Roli kashyap,nice ☺️,5,2026-03-11 23:58:12,Swiggy,nice,nice,Positive,Positive
Vaishali Srivastava,late delivery,1,2026-03-11 23:57:51,Swiggy,late delivery,late delivery,Neutral,Negative
Sumit Sharma,Very bad bahut mehnga h holte double price h,1,2026-03-11 23:56:38,Swiggy,very bad bahut mehnga h holte double price h,bad bahut mehnga holte double price,Negative,Negative
Tabieshek20,Swiggy Service Not Good And Timely delivery Food . I m Still Waiting In 2 hours For my Food. But They Are not take to any kind of Responsibility. I m Personally Suggest don't Download This food Delivery company aap serivce.,1,2026-03-11 23:56:31,Swiggy,swiggy service not good and timely delivery food  i m still waiting in  hours for my food but they are not take to any kind of responsibility i m personally suggest dont download this food delivery company aap serivce,swiggy service good timely delivery food still waiting hour food take kind responsibility personally suggest dont download food delivery company aap serivce,Positive,Negative
tube winner,delivery time,1,2026-03-11 23:50:41,Swiggy,delivery time,delivery time,Neutral,Negative
Chintan Raj,swiggy instamart has committed a fraud with me. they have sent to me a sunscreen cream of expired date and it is now dangerous to apply on skin for me and my family. after requesting for replacement they declined several times. nor are they agreeing for refund. this is a complete cheating and unfair treatment to me. this is harassment.,1,2026-03-11 23:46:21,Swiggy,swiggy instamart has committed a fraud with me they have sent to me a sunscreen cream of expired date and it is now dangerous to apply on skin for me and my family after requesting for replacement they declined several times nor are they agreeing for refund this is a complete cheating and unfair treatment to me this is harassment,swiggy instamart committed fraud sent sunscreen cream expired date dangerous apply skin family requesting replacement declined several time agreeing refund complete cheating unfair treatment harassment,Negative,Negative
Film Production,worst ever service. i ordered some food the food was ready in 15mins and till 45min agent is not assigned and when agent is assigned he is saying he need 1hr to take the order and come to me I guess we all should stop using Swiggy they are just scamming us by taking money and later there is no customer support and if asked for cancellations they don't refund money in a case when it's their faults,1,2026-03-11 23:37:32,Swiggy,worst ever service i ordered some food the food was ready in mins and till min agent is not assigned and when agent is assigned he is saying he need hr to take the order and come to me i guess we all should stop using swiggy they are just scamming us by taking money and later there is no customer support and if asked for cancellations they dont refund money in a case when its their faults,worst ever service ordered food food ready min till min agent assigned agent assigned saying need take order come guess stop using swiggy scamming taking money later customer support asked cancellation dont refund money case fault,Negative,Negative
Rishi Pawan,👍 nice,5,2026-03-11 23:36:19,Swiggy,nice,nice,Positive,Positive
